# Date:     2019-03-06 15:19:54
# Database: cvs
# Target:   blg_t2cep
# Query:    I>=10 and I<=25 
# Objects:  357
# Columns:
# ID	Field	StarID	I	V	P_1	dP_1	A_1
 001	 366.5	86766	14.176	15.759	3.9983508	0.0000897	0.595
 002	 366.8	22036	13.909	15.188	2.2684194	0.0000223	0.215
 003	 332.6	61794	15.061	16.519	1.4844493	0.0000087	0.656
 004	 360.7	43390	14.856	16.404	1.2118999	0.0000096	0.238
 005	 364.1	38522	16.842	18.666	2.0075505	0.0000144	0.442
 006	 360.4	41373	13.344	14.853	7.6379292	0.0003821	0.599
 007	 331.5	150614	15.488	17.468	1.8173297	0.0000105	0.564
 008	 356.8	134613	15.970	17.765	1.1829551	0.0000098	0.293
 009	 331.7	28689	15.608	17.630	1.8960106	0.0000093	0.360
 010	 355.1	128586	14.973	16.718	1.9146495	0.0000082	0.404
 011	 355.1	98281	13.413	15.379	15.3886022	0.0017974	0.664
 012	 200.3	35130	14.533	15.968	1.4769841	0.0000029	0.382
 013	 330.6	87273	16.193	18.525	1.5170484	0.0000080	0.620
 014	 330.3	41707	13.590	15.376	1.2387595	0.0000038	0.526
 015	 333.6	46451	15.907	18.087	1.2793718	0.0000065	0.177
 016	 333.7	55533	15.689	18.157	1.9182290	0.0000011	0.380
 017	-99	0	16.251	18.533	1.0977615	0.0000013	0.535
 018	 333.6	120692	15.990	18.072	1.6199515	0.0000006	0.671
 019	-99	0	13.257	16.042	34.9428597	0.0120025	0.692
 020	 333.5	113102	15.774	17.966	1.6604717	0.0000007	0.569
 021	 336.7	70921	14.123	15.862	3.4252566	0.0000529	0.586
 022	 333.4	97615	16.379	18.621	1.0485409	0.0000071	0.120
 023	 333.2	31353	13.604	16.156	14.8909306	0.0003237	0.857
 024	 333.2	126643	13.612	16.584	40.2275107	0.0210696	0.817
 025	 336.3	114175	13.708	15.850	10.1419745	0.0010317	0.228
 026	 352.8	63914	16.858	19.237	2.3446069	0.0000367	0.472
 027	 352.3	83929	13.467	15.486	15.4692153	0.0031659	0.672
 028	 334.7	95192	16.827	19.092	11.3828397	0.0007437	0.794
 029	 338.8	133156	15.238	16.794	1.4976008	0.0000114	0.427
 030	 344.6	96995	15.724	17.723	1.1714396	0.0000030	0.587
 031	 351.7	0	11.619	13.518	14.8296445	0.0068725	1.033
 032	 344.5	114696	13.130	15.387	16.3054759	0.0006753	0.823
 033	 346.3	38827	14.164	16.355	7.0342122	0.0001712	0.239
 034	 129.6	129970	13.688	16.298	22.4527572	0.0018048	0.965
 035	 344.1	54779	15.093	17.000	1.9306769	0.0000066	0.578
 036	 344.1	18386	14.830	16.920	3.6959064	0.0000171	0.492
 037	 138.8	49375	15.782	17.904	1.3788787	0.0000010	0.415
 038	 138.5	48619	14.146	16.981	15.1976862	0.0002748	0.724
 039	 129.3	61924	14.796	16.889	2.7553281	0.0000017	0.614
 040	 129.2	63646	15.693	-99.99	1.6627214	0.0000028	0.336
 041	 347.6	42346	15.905	17.829	1.0892137	0.0000058	0.235
 042	 344.4	30564	16.430	18.862	5.7274553	0.0003136	0.369
 043	 349.6	72131	13.201	14.946	17.1553570	0.0009624	1.011
 044	 347.4	30482	13.437	15.305	10.1808423	0.0003731	0.826
 045	 347.3	77264	14.137	16.518	19.3101712	0.0016146	0.966
 046	 345.8	175849	13.663	15.707	14.8004595	0.0015553	0.808
 047	 347.2	129250	14.971	17.139	4.7958815	0.0000281	0.578
 048	 106.6	20576	15.491	16.907	1.5233977	0.0000052	0.614
 049	 130.4	44483	12.122	14.039	31.1660562	0.0181929	0.454
 050	 342.2	12013	15.206	16.883	1.3976720	0.0000024	0.326
 051	 342.2	59289	14.867	16.447	1.2094590	0.0000003	0.613
 052	 342.4	59767	14.331	16.211	3.0885860	0.0000025	0.553
 053	 121.4	20454	13.600	15.397	12.3411570	0.0002863	0.329
 054	 342.1	110509	14.800	16.398	1.2836757	0.0000003	0.642
 055	 139.7	52207	14.953	17.467	7.0752711	0.0000345	0.593
 056	 116.2	28137	15.747	17.185	21.0805111	0.0031330	0.427
 057	 116.3	113970	13.599	15.194	8.7937801	0.0000642	0.530
 058	 350.1	74761	15.532	17.127	1.0512547	0.0000044	0.396
 059	 122.6	123077	12.647	14.217	12.6374816	0.0005366	0.635
 060	 139.2	167522	15.657	17.544	1.3322924	0.0000007	0.564
 061	 147.8	56145	16.291	18.281	1.1185664	0.0000010	0.401
 062	 122.8	19853	14.166	15.466	1.0094638	0.0000003	0.265
 063	 350.2	61549	12.844	14.476	12.3031541	0.0031802	0.878
 064	 179.7	28420	15.375	19.479	16.5497373	0.0004081	0.769
 065	 139.4	31363	16.129	18.401	1.0346968	0.0000009	0.253
 066	-99	0	16.422	21.594	10.5399023	0.0005643	0.168
 067	 340.6	129789	16.096	18.663	1.7418072	0.0000029	0.441
 068	 179.5	33793	15.673	20.722	31.5587232	0.0036153	0.431
 069	 139.2	200985	16.499	18.273	1.7811412	0.0000061	0.440
 070	 343.1	86646	15.521	17.237	2.9362950	0.0000111	0.394
 071	-99	0	15.783	20.635	15.7459411	0.0006372	0.829
 072	-99	0	16.891	-99.99	1.5514042	0.0000055	0.546
 073	-99	0	18.005	-99.99	12.1151956	0.0007500	0.603
 074	 179.7	18191	16.601	19.822	2.3095193	0.0000021	0.437
 075	 179.6	52190	16.474	19.354	1.3900859	0.0000008	0.578
 076	 343.2	101680	15.828	18.138	1.3399675	0.0000015	0.656
 077	 117.3	133950	14.757	-99.99	5.9418331	0.0001765	0.195
 078	 194.5	18595	17.723	-99.99	16.7151266	0.0003716	0.926
 079	 122.4	192056	12.728	14.390	25.5033403	0.0019057	1.347
 080	 318.6	72067	14.959	16.257	1.0494335	0.0000028	0.342
 081	 100.6	83424	17.115	22.046	4.2893661	0.0000105	0.469
 082	-99	0	16.831	20.197	1.7828820	0.0000040	0.395
 083	 107.3	127423	13.277	14.775	22.5254701	0.0035873	0.934
 084	 179.3	143979	13.329	17.130	66.1080973	0.0288439	0.408
 085	 122.1	32679	14.608	16.028	2.2592185	0.0000020	0.611
 086	 107.3	56557	13.794	15.484	15.1494103	0.0019278	0.534
 087	 179.3	100007	14.891	17.771	7.9096015	0.0000907	0.220
 088	 131.4	129067	13.162	15.199	25.7234197	0.0015351	1.182
 089	 117.4	103297	14.732	16.019	1.4742055	0.0000031	0.353
 090	 100.6	92714	16.436	19.500	1.5011010	0.0000004	0.727
 091	 194.5	40493	15.993	-99.99	27.3525220	0.0014739	0.822
 092	 100.7	19483	17.577	21.237	24.5798505	0.0009606	0.656
 093	 194.6	63493	15.813	20.306	14.8933191	0.0001331	0.922
 094	 100.5	90967	15.187	19.021	12.1497146	0.0000635	0.499
 095	 179.1	40627	13.015	16.140	52.8405494	0.0107776	0.561
 096	 194.6	85276	18.026	-99.99	2.3398463	0.0000056	0.477
 097	 194.7	19105	14.666	18.466	15.0922893	0.0000547	0.852
 098	 100.5	134496	14.636	18.322	16.6215613	0.0000746	0.902
 099	 100.7	103164	13.472	14.351	2.9911236	0.0000093	0.170
 100	 340.4	129381	16.821	19.077	2.8748214	0.0000270	0.342
 101	-99	0	14.247	16.988	14.9597269	0.0002171	0.850
 102	 123.5	57165	12.375	14.231	27.1954181	0.0044819	0.865
 103	 194.5	48370	17.221	-99.99	3.9379020	0.0000290	0.287
 104	 118.5	91533	14.856	16.027	1.4849890	0.0000014	0.728
 105	 147.2	42082	14.597	16.716	7.7677945	0.0002420	0.126
 106	 194.6	22817	17.072	-99.99	1.2670031	0.0000012	0.607
 107	 194.6	49542	15.560	20.062	14.9272869	0.0001671	0.795
 108	 118.8	94912	15.674	16.883	1.6385908	0.0000020	0.512
 109	 123.7	0	12.096	13.595	17.5133679	0.0018158	0.923
 110	 194.1	55	14.748	18.121	30.2633212	0.0046068	0.396
 111	 100.4	169814	14.335	17.569	12.3703372	0.0000566	0.862
 112	 179.3	41468	15.748	18.572	8.7170833	0.0000707	0.361
 113	 194.3	85773	16.694	20.371	1.9441900	0.0000022	0.596
 114	 114.6	19501	13.383	14.765	9.4576170	0.0005635	0.543
 115	 155.8	73854	14.622	16.709	3.2005889	0.0000019	0.648
 116	 194.3	135677	16.397	19.835	2.1460833	0.0000015	0.670
 117	 100.3	137574	14.614	17.583	9.5044024	0.0000506	0.174
 118	 140.4	81053	13.862	15.840	9.8895271	0.0001389	0.316
 119	 194.4	20546	19.009	-99.99	2.8844376	0.0000364	0.336
 120	 180.5	165480	14.385	16.966	6.8911429	0.0000275	0.505
 121	 163.8	109977	14.513	16.980	9.5157556	0.0001621	0.202
 122	 194.3	141747	16.023	-99.99	3.6947496	0.0000113	0.614
 123	 194.1	84146	14.491	17.713	10.3328949	0.0002669	0.208
 124	 194.4	58844	14.642	18.045	13.0965340	0.0002504	0.388
 125	 100.3	95964	16.407	20.031	2.2929525	0.0000029	0.417
 126	 100.3	151744	14.538	17.552	9.6361561	0.0000799	0.166
 127	 100.4	94191	14.426	17.116	11.5518888	0.0000574	0.994
 128	 180.6	80721	14.871	17.457	7.4660507	0.0000730	0.206
 129	 100.2	218708	16.189	19.138	2.0881731	0.0000007	0.397
 130	 123.3	5319	12.406	13.921	14.5203781	0.0017479	0.693
 131	 195.8	111340	13.644	17.000	56.7433837	0.0202848	0.637
 132	 180.6	90984	13.149	16.378	51.4525307	0.0101923	0.584
 133	-99	0	15.133	17.339	2.3015158	0.0000030	0.430
 134	 195.7	13763	15.975	18.908	2.2282288	0.0000015	0.474
 135	 163.5	30850	13.734	16.404	23.2860100	0.0012472	0.885
 136	 163.2	54950	13.734	16.087	11.1568318	0.0002041	0.658
 137	-99	0	13.591	15.856	12.8035645	0.0006754	0.428
 138	 101.7	236592	14.211	16.764	11.5223635	0.0001049	0.463
 139	 195.7	129392	15.382	18.444	5.9218208	0.0000645	0.258
 140	 110.3	98883	13.593	14.822	15.7661638	0.0014939	0.888
 141	 118.2	108200	18.884	20.867	3.1648592	0.0000611	0.969
 142	 195.6	25875	15.211	17.710	2.6991508	0.0000020	0.528
 143	 101.5	31320	13.939	16.634	13.8618006	0.0003055	0.466
 144	 195.8	190742	13.623	16.842	23.2016085	0.0004199	0.929
 145	 180.3	61542	15.088	17.974	6.4364954	0.0001036	0.153
 146	 180.3	182657	12.806	15.400	29.9995980	0.0016020	0.758
 147	-99	0	13.542	15.635	13.7633234	0.0008164	0.561
 148	 101.5	31361	14.107	16.632	14.5601651	0.0001526	0.577
 149	 171.4	72331	15.312	17.876	4.2292871	0.0000098	0.548
 150	 114.1	87411	15.017	16.116	1.3874363	0.0000019	0.614
 151	-99	0	16.346	18.118	1.5017820	0.0000087	0.769
 152	 123.4	148748	14.095	15.547	3.1973998	0.0000169	0.803
 153	-99	0	16.130	17.640	1.4841865	0.0000040	0.227
 154	 101.6	53292	14.862	16.643	2.2177925	0.0000012	0.591
 155	 171.1	127644	16.067	18.172	1.0705837	0.0000004	0.483
 156	-99	0	14.855	16.870	4.5792586	0.0000463	0.278
 157	 195.7	208059	15.466	17.702	1.3327548	0.0000008	0.614
 158	 195.4	208374	14.696	17.162	3.8285541	0.0000100	0.662
 159	 156.5	170044	15.852	18.057	1.8893254	0.0000013	0.501
 160	 156.6	7486	13.478	15.690	21.6354028	0.0010111	0.740
 161	 195.2	143175	13.971	16.401	10.8825462	0.0003837	0.247
 162	 163.1	133519	13.964	16.164	9.7538556	0.0002645	0.384
 163	 141.2	11729	13.039	15.132	26.2225201	0.0038094	0.753
 164	 101.3	85048	14.204	16.284	7.6915190	0.0000592	0.163
 165	 195.2	217699	14.947	17.300	3.5134111	0.0000025	0.564
 166	 101.4	18596	14.480	16.344	2.2127259	0.0000005	0.540
 167	 164.6	117333	15.439	17.305	1.5840349	0.0000010	0.575
 168	 141.3	125841	16.011	17.700	1.4622404	0.0000006	0.659
 169	 181.6	11263	16.821	20.769	7.0537840	0.0001090	0.275
 170	 124.6	68981	12.849	14.326	14.4766007	0.0026699	0.561
 171	 149.7	55579	14.186	16.183	7.7429340	0.0001193	0.296
 172	 101.1	263948	13.094	15.952	66.1413281	0.0057746	0.655
 173	 101.2	0	12.666	14.357	16.0646854	0.0000929	0.905
 174	 156.5	91367	13.650	15.717	10.3357197	0.0001357	0.236
 175	 172.7	72079	14.707	16.735	2.1549649	0.0000010	0.402
 176	 101.2	67054	15.071	16.881	3.5424915	0.0000029	0.482
 177	 164.7	91690	13.058	15.483	46.1114024	0.0173503	0.619
 178	 102.5	64634	15.445	17.683	1.8172315	0.0000006	0.544
 179	 164.5	97336	12.402	15.121	84.8101609	0.0353884	0.653
 180	 103.7	195250	14.408	16.274	3.6523867	0.0000261	0.204
 181	 102.7	224998	13.250	15.086	9.9383692	0.0000958	0.638
 182	 172.3	181760	12.164	14.247	36.2514677	0.0058218	0.777
 183	 172.2	176291	13.975	16.162	10.2645177	0.0000727	0.537
 184	 102.8	98635	14.989	16.630	1.3541220	0.0000002	0.475
 185	-99	0	13.478	15.510	14.0294956	0.0008188	0.580
 186	 172.4	78587	13.495	15.426	7.4950265	0.0000646	0.145
 187	 124.1	111187	13.244	14.995	9.6030733	0.0003624	0.615
 188	 172.1	170889	15.239	16.990	1.9196222	0.0000009	0.382
 189	 102.7	115015	13.497	15.609	13.4057602	0.0001222	0.564
 190	 205.6	146102	14.915	16.828	1.7554335	0.0000010	0.487
 191	 181.3	134227	13.940	16.263	10.2189721	0.0002172	0.284
 192	 181.2	211050	14.803	17.021	2.7055210	0.0000050	0.197
 193	 149.1	138712	12.864	14.957	23.7343593	0.0009520	0.903
 194	 124.4	35340	13.366	14.523	12.4613123	0.0015979	0.466
 195	 102.8	57866	15.545	17.642	1.5355409	0.0000009	0.291
 196	 102.7	61670	12.256	14.256	36.7372745	0.0025238	0.805
 197	 214.5	63890	13.879	16.383	10.9034524	0.0002984	0.218
 198	 172.3	35564	14.025	16.080	7.2908324	0.0000718	0.147
 199	 164.2	95221	15.653	17.151	1.0211596	0.0000017	0.287
 200	 214.5	128439	15.062	17.674	8.0777969	0.0000685	0.429
 201	 214.8	15199	13.521	15.619	11.3194083	0.0002370	0.271
 202	 205.7	98898	15.751	18.241	2.7591166	0.0000071	0.337
 203	 205.7	30168	15.029	18.118	10.7158923	0.0001493	0.407
 204	 172.2	163161	15.743	17.543	1.0606757	0.0000005	0.349
 205	 182.7	117111	13.624	15.691	24.1441386	0.0010085	0.840
 206	 205.5	195254	15.266	17.233	1.2907391	0.0000006	0.608
 207	 142.2	23596	14.663	15.886	1.7659671	0.0000009	0.669
 208	 102.2	33688	13.915	16.399	11.1352511	0.0001674	0.253
 209	 205.6	64160	15.445	17.279	1.1812838	0.0000017	0.388
 210	 173.8	117215	14.071	16.023	8.3817315	0.0001475	0.124
 211	 103.1	184475	15.458	17.565	1.5814142	0.0000011	0.633
 212	 102.3	240385	13.900	16.292	14.1184071	0.0001814	0.549
 213	 102.2	57487	15.173	16.731	1.1203209	0.0000002	0.539
 214	 157.3	1	14.212	15.494	2.2376613	0.0000031	0.730
 215	 188.7	111074	14.084	17.348	27.8721560	0.0036216	0.601
 216	 104.7	9096	12.746	14.566	14.6712625	0.0001076	0.883
 217	 104.8	7084	12.902	14.882	22.4680123	0.0008784	0.899
 218	 188.7	173371	13.074	15.741	35.8447735	0.0073879	0.952
 219	 173.5	216478	13.754	16.116	12.0662747	0.0001878	0.741
 220	 205.2	38054	14.701	16.515	2.3141936	0.0000007	0.480
 221	 143.8	0	12.054	13.789	20.1779697	0.0084972	1.165
 222	 157.4	64820	15.794	17.390	1.1479540	0.0000050	0.162
 223	 165.4	167574	14.631	16.198	1.8547075	0.0000005	0.750
 224	 223.8	150602	12.666	15.670	37.7501086	0.0049307	0.785
 225	 214.3	151199	17.181	19.803	1.0531000	0.0000013	0.355
 226	 188.6	154240	12.970	14.964	16.2871012	0.0002281	0.834
 227	 223.5	64647	16.912	19.121	1.6399326	0.0000020	0.547
 228	 206.7	214674	15.153	16.800	1.2044216	0.0000008	0.146
 229	 214.1	158409	12.160	14.454	33.1909552	0.0051447	0.560
 230	 150.1	101216	13.581	16.047	16.3990936	0.0004142	0.877
 231	 188.5	106634	14.423	15.680	1.5139188	0.0000006	0.758
 232	 173.2	73821	12.834	14.752	21.9960587	0.0009048	0.901
 233	 165.2	128927	15.036	16.873	2.3207129	0.0000035	0.436
 234	 215.7	131724	14.783	16.339	1.4001975	0.0000007	0.695
 235	 104.5	234169	14.197	15.596	2.8843514	0.0000013	0.770
 236	-99	0	13.864	15.552	7.1384277	0.0001549	0.373
 237	 182.3	27920	14.120	16.533	10.1059293	0.0001552	0.419
 238	 188.2	183587	14.648	16.338	2.7700384	0.0000030	0.441
 239	 215.6	69433	13.393	15.574	12.0776754	0.0004143	0.304
 240	 223.7	33782	14.231	16.723	11.5047711	0.0002303	0.758
 241	 135.6	53779	12.661	14.219	15.2911675	0.0021254	0.828
 242	 188.1	58676	15.111	16.893	1.6982330	0.0000009	0.437
 243	 188.4	22969	13.428	15.162	10.6422219	0.0001880	0.250
 244	 215.6	212290	13.669	15.595	8.5255155	0.0002856	0.113
 245	 151.7	139182	15.363	17.495	3.8872514	0.0002149	0.438
 246	 188.3	0	11.731	13.379	31.5270141	0.0036478	0.651
 247	 206.7	205663	14.836	16.299	1.7302787	0.0000005	0.570
 248	 158.5	71453	13.177	15.183	20.6047282	0.0012524	0.937
 249	 188.4	0	11.724	13.330	31.8000110	0.0046214	0.905
